state,birth_year,birth_month,LBW_ratio,latitude,longitude,mp1,mp2,mp3,mp4,mp5
Connecticut,2016.0,2,0.0699925539836187,41.6219,-72.7273,0.002,0.0042222222222222,0.0390666666666666,0.00561111111111105,0.0069999999999999
Connecticut,2016.0,3,0.086635325721961,41.6219,-72.7273,0.0015,0.0071666666666666,0.0476666666666666,0.0139999999999999,0.0
Connecticut,2016.0,4,0.0747051114023591,41.6219,-72.7273,0.00375,0.0176153846153846,0.1216666666666666,0.0139999999999999,0.0032
Connecticut,2016.0,5,0.074784276126558,41.6219,-72.7273,0.0042222222222222,0.0390666666666666,0.00649999999999995,0.0069999999999999,0.006
Connecticut,2016.0,6,0.0715673575129533,41.6219,-72.7273,0.0071666666666666,0.0476666666666666,0.0139999999999999,0.0,0.006
Connecticut,2016.0,7,0.0663492063492063,41.6219,-72.7273,0.0176153846153846,0.1216666666666666,0.0139999999999999,0.0032,0.0056666666666666
Connecticut,2016.0,8,0.0757622420696027,41.6219,-72.7273,0.0390666666666666,0.00649999999999995,0.0069999999999999,0.006,0.00125
Connecticut,2016.0,9,0.0703452726686027,41.6219,-72.7273,0.0476666666666666,0.0139999999999999,0.0,0.006,0.00125
Connecticut,2017.0,1,0.0863439306358381,41.6219,-72.7273,0.0139999999999999,0.0032,0.0056666666666666,0.0006666666666666,0.0044333333333333004
Connecticut,2017.0,10,0.0831353919239905,41.6219,-72.7273,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0006666666666666
Connecticut,2017.0,2,0.0737417089348419,41.6219,-72.7273,0.0069999999999999,0.006,0.00125,0.006,0.006
Connecticut,2017.0,3,0.0807265388496468,41.6219,-72.7273,0.0,0.006,0.00125,0.00125,0.00125
Connecticut,2017.0,4,0.0870767104353835,41.6219,-72.7273,0.0032,0.0056666666666666,0.0006666666666666,0.0032,0.0032
Connecticut,2017.0,5,0.0834976988823142,41.6219,-72.7273,0.006,0.00125,0.003625,0.003625,0.003625
Connecticut,2017.0,6,0.0832500832500832,41.6219,-72.7273,0.006,0.00125,0.003625,0.003625,0.003625
Connecticut,2017.0,7,0.0762627930009904,41.6219,-72.7273,0.0056666666666666,0.0006666666666666,0.0031666666666666002,0.0031666666666666002,0.0031666666666666002
Connecticut,2017.0,8,0.0752351097178683,41.6219,-72.7273,0.00125,0.00125,0.00125,0.00125,0.00125
Connecticut,2017.0,9,0.0756463453558889,41.6219,-72.7273,0.00125,0.00125,0.00125,0.00125,0.00125
Connecticut,2018.0,10,0.0765985069782538,41.6219,-72.7273,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Connecticut,2018.0,11,0.073706591070163,41.6219,-72.7273,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Connecticut,2018.0,12,0.0854792560801144,41.6219,-72.7273,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Connecticut,2018.0,2,0.0838709677419354,41.6219,-72.7273,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Connecticut,2018.0,3,0.0787564766839378,41.6219,-72.7273,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Connecticut,2018.0,4,0.0735030476873431,41.6219,-72.7273,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Connecticut,2018.0,5,0.0717503217503217,41.6219,-72.7273,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Connecticut,2018.0,6,0.0756533700137551,41.6219,-72.7273,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Connecticut,2018.0,7,0.0660187667560321,41.6219,-72.7273,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Connecticut,2018.0,8,0.0667970022808732,41.6219,-72.7273,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Connecticut,2018.0,9,0.0719944884602135,41.6219,-72.7273,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Connecticut,2019.0,1,0.0831839368949444,41.6219,-72.7273,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Connecticut,2019.0,2,0.0746210649047804,41.6219,-72.7273,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Connecticut,2019.0,3,0.0823363828289936,41.6219,-72.7273,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Connecticut,2019.0,4,0.0747763864042933,41.6219,-72.7273,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Delaware,2016.0,1,0.1124260355029585,38.9896,-75.505,0.002,0.0104999999999999,0.0176153846153846,0.1216666666666666,0.0139999999999999
Delaware,2016.0,10,0.0722347629796839,38.9896,-75.505,0.1216666666666666,0.0139999999999999,0.0032,0.0056666666666666,0.0006666666666666
Delaware,2016.0,11,0.0788863109048723,38.9896,-75.505,0.006,0.0069999999999999,0.006,0.00125,0.006
Delaware,2016.0,12,0.0665054413542926,38.9896,-75.505,0.0139999999999999,0.0,0.006,0.00125,0.003625
Delaware,2016.0,2,0.0625737898465171,38.9896,-75.505,0.002,0.0096666666666666,0.0390666666666666,0.00833333333333325,0.0069999999999999
Delaware,2016.0,3,0.0831643002028397,38.9896,-75.505,0.01058333333333325,0.0071666666666666,0.0476666666666666,0.0139999999999999,0.0
Delaware,2016.0,4,0.0968858131487889,38.9896,-75.505,0.0104999999999999,0.0176153846153846,0.1216666666666666,0.0139999999999999,0.0032
Delaware,2016.0,5,0.0822510822510822,38.9896,-75.505,0.0096666666666666,0.0390666666666666,0.00833333333333325,0.0069999999999999,0.006
Delaware,2016.0,6,0.0694736842105263,38.9896,-75.505,0.0071666666666666,0.0476666666666666,0.0139999999999999,0.0,0.006
Delaware,2016.0,7,0.06775956284153,38.9896,-75.505,0.0176153846153846,0.1216666666666666,0.0139999999999999,0.0032,0.0056666666666666
Delaware,2016.0,8,0.058252427184466,38.9896,-75.505,0.0390666666666666,0.00649999999999995,0.0069999999999999,0.006,0.00125
Delaware,2016.0,9,0.0648936170212765,38.9896,-75.505,0.0476666666666666,0.0139999999999999,0.0,0.006,0.00125
Delaware,2017.0,1,0.1013986013986013,38.9896,-75.505,0.0139999999999999,0.0032,0.0056666666666666,0.0006666666666666,0.0044333333333333004
Delaware,2017.0,10,0.0700836820083682,38.9896,-75.505,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0006666666666666
Delaware,2017.0,2,0.077020202020202,38.9896,-75.505,0.0069999999999999,0.006,0.00125,0.006,0.006
Delaware,2017.0,3,0.0726872246696035,38.9896,-75.505,0.0,0.006,0.00125,0.00125,0.00125
Delaware,2017.0,4,0.059322033898305,38.9896,-75.505,0.0032,0.0056666666666666,0.0006666666666666,0.0032,0.0032
Delaware,2017.0,5,0.0856832971800433,38.9896,-75.505,0.006,0.00125,0.003625,0.003625,0.003625
Delaware,2017.0,6,0.0916754478398314,38.9896,-75.505,0.006,0.00125,0.003625,0.003625,0.003625
Delaware,2017.0,7,0.0836047774158523,38.9896,-75.505,0.0056666666666666,0.0006666666666666,0.0031666666666666002,0.0031666666666666002,0.0031666666666666002
Delaware,2017.0,8,0.0734824281150159,38.9896,-75.505,0.00125,0.00125,0.00125,0.00125,0.00125
Delaware,2017.0,9,0.0783664459161147,38.9896,-75.505,0.00125,0.00125,0.00125,0.00125,0.00125
Delaware,2018.0,10,0.0597519729425028,38.9896,-75.505,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Delaware,2018.0,11,0.115995115995116,38.9896,-75.505,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Delaware,2018.0,12,0.0775280898876404,38.9896,-75.505,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Delaware,2018.0,2,0.0672588832487309,38.9896,-75.505,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Delaware,2018.0,3,0.0606060606060606,38.9896,-75.505,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
Delaware,2018.0,4,0.0691358024691358,38.9896,-75.505,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668,29.666666666666668
