Unnamed: 0.1,Unnamed: 0,state,birth_year,birth_month,LBW_ratio,latitude,longitude,mp1,mp2,mp3,mp4,mp5,Degree Farenheit
161,161,Connecticut,2019,3,0.082336383,41.6219,-72.7273,29.66666667,,,,,30.7
162,162,Connecticut,2019,4,0.074776386,41.6219,-72.7273,29.66666667,,,,,35.3
163,163,Connecticut,2019,5,0.07122905,41.6219,-72.7273,,,,,,39.7
164,164,Connecticut,2019,6,0.083686441,41.6219,-72.7273,,,,,,44.2
165,165,Connecticut,2019,7,0.06653426,41.6219,-72.7273,,,,,,48.5
166,166,Connecticut,2019,8,0.071852546,41.6219,-72.7273,,,,,,51.3
167,167,Connecticut,2019,9,0.078273078,41.6219,-72.7273,,,,,,52.6
168,168,Connecticut,2020,1,0.084739677,41.6219,-72.7273,,,,,,33
169,169,Connecticut,2020,10,0.080297135,41.6219,-72.7273,,,,,,54.2
170,170,Connecticut,2020,11,0.087163233,41.6219,-72.7273,,,,,,53.4
171,171,Connecticut,2020,12,0.076620825,41.6219,-72.7273,,,,,,51.8
172,172,Connecticut,2020,2,0.083634901,41.6219,-72.7273,,,,,,33.5
173,173,Connecticut,2020,3,0.069751139,41.6219,-72.7273,,,,,,36.1
174,174,Connecticut,2020,4,0.074468085,41.6219,-72.7273,,,,,,38.2
175,175,Connecticut,2020,5,0.079409698,41.6219,-72.7273,,,,,,41.8
176,176,Connecticut,2020,6,0.076468544,41.6219,-72.7273,,,,,,46.3
177,177,Connecticut,2020,7,0.066178916,41.6219,-72.7273,,,,,,50.4
178,178,Connecticut,2020,8,0.073284477,41.6219,-72.7273,,,,,,53.2
179,179,Connecticut,2020,9,0.076763485,41.6219,-72.7273,,,,,,54.4
180,180,Delaware,2016,1,0.112426036,38.9896,-75.505,0.002,0.0105,0.017615385,0.121666667,0.014,34.3
181,181,Delaware,2016,10,0.072234763,38.9896,-75.505,0.121666667,0.014,0.0032,0.005666667,0.000666667,60
182,182,Delaware,2016,11,0.078886311,38.9896,-75.505,,0.007,0.006,0.00125,,59
183,183,Delaware,2016,12,0.066505441,38.9896,-75.505,0.014,0,0.006,0.00125,,57.4
184,184,Delaware,2016,2,0.06257379,38.9896,-75.505,0.002,0.009666667,0.039066667,,0.007,36.4
185,185,Delaware,2016,3,0.0831643,38.9896,-75.505,,0.007166667,0.047666667,0.014,0,40.8
186,186,Delaware,2016,4,0.096885813,38.9896,-75.505,0.0105,0.017615385,0.121666667,0.014,0.0032,43.9
187,187,Delaware,2016,5,0.082251082,38.9896,-75.505,0.009666667,0.039066667,,0.007,0.006,47.5
188,188,Delaware,2016,6,0.069473684,38.9896,-75.505,0.007166667,0.047666667,0.014,0,0.006,51.6
189,189,Delaware,2016,7,0.067759563,38.9896,-75.505,0.017615385,0.121666667,0.014,0.0032,0.005666667,55.6
190,190,Delaware,2016,8,0.058252427,38.9896,-75.505,0.039066667,,0.007,0.006,0.00125,58.5
